Frame,Timestamp,ObjectID,Label,Distance(m)
289,11:43:19,12,person,3.39
290,11:43:20,12,person,3.38
291,11:43:20,12,person,3.38
292,11:43:20,12,person,3.4
293,11:43:20,12,person,3.37
294,11:43:20,12,person,3.26
295,11:43:20,12,person,3.2
296,11:43:20,12,person,3.25
297,11:43:21,12,person,3.32
298,11:43:21,12,person,3.43
299,11:43:21,12,person,3.51
300,11:43:21,12,person,3.53
301,11:43:21,12,person,3.47
302,11:43:21,12,person,3.47
303,11:43:22,12,person,3.63
304,11:43:22,12,person,3.54
305,11:43:22,12,person,3.53
306,11:43:22,12,person,3.52
307,11:43:22,12,person,3.52
308,11:43:22,12,person,3.53
309,11:43:22,12,person,3.52
310,11:43:23,12,person,3.53
311,11:43:23,12,person,3.54
312,11:43:23,12,person,3.53
313,11:43:23,12,person,3.53
314,11:43:23,12,person,3.54
315,11:43:23,12,person,3.53
316,11:43:24,12,person,3.54
317,11:43:24,12,person,3.55
318,11:43:24,12,person,3.55
319,11:43:24,12,person,3.55
320,11:43:24,12,person,3.57
321,11:43:24,12,person,3.55
322,11:43:24,12,person,3.57
323,11:43:25,12,person,3.57
324,11:43:25,12,person,3.54
325,11:43:25,12,person,3.55
326,11:43:25,12,person,3.55
327,11:43:25,12,person,3.55
328,11:43:25,12,person,3.57
329,11:43:25,12,person,3.55
330,11:43:26,12,person,3.54
331,11:43:26,12,person,3.57
332,11:43:26,12,person,3.55
333,11:43:26,12,person,3.55
334,11:43:26,12,person,3.58
335,11:43:26,12,person,3.58
336,11:43:26,12,person,3.57
337,11:43:27,12,person,3.57
338,11:43:27,12,person,3.58
339,11:43:27,12,person,3.58
340,11:43:27,12,person,3.59
341,11:43:27,12,person,3.58
342,11:43:27,12,person,3.6
343,11:43:27,12,person,3.58
344,11:43:28,12,person,3.59
345,11:43:28,12,person,3.59
346,11:43:28,12,person,3.59
347,11:43:28,12,person,3.58
348,11:43:28,12,person,3.59
349,11:43:28,12,person,3.58
350,11:43:28,12,person,3.58
351,11:43:29,12,person,3.59
352,11:43:29,12,person,3.58
353,11:43:29,12,person,3.58
354,11:43:29,12,person,3.59
355,11:43:29,12,person,3.59
356,11:43:29,12,person,3.6
357,11:43:30,12,person,3.6
358,11:43:30,12,person,3.59
359,11:43:30,12,person,3.6
360,11:43:30,12,person,3.6
361,11:43:30,12,person,3.6
362,11:43:30,12,person,3.59
363,11:43:31,12,person,3.62
364,11:43:31,12,person,3.62
365,11:43:31,12,person,3.62
366,11:43:31,12,person,3.6
367,11:43:31,12,person,3.62
368,11:43:31,12,person,3.62
369,11:43:31,12,person,3.62
370,11:43:32,12,person,3.6
371,11:43:32,12,person,3.62
372,11:43:32,12,person,3.62
373,11:43:32,12,person,3.62
374,11:43:32,12,person,3.62
375,11:43:32,12,person,3.62
376,11:43:32,12,person,3.62
377,11:43:33,12,person,3.62
378,11:43:33,12,person,3.62
379,11:43:33,12,person,3.63
380,11:43:33,12,person,3.63
381,11:43:33,12,person,3.64
382,11:43:33,12,person,3.64
383,11:43:34,12,person,3.64
384,11:43:34,12,person,3.64
385,11:43:34,12,person,3.64
386,11:43:34,12,person,3.64
387,11:43:34,12,person,3.64
388,11:43:34,12,person,3.64
389,11:43:34,12,person,3.64
390,11:43:35,12,person,3.64
391,11:43:35,12,person,3.63
392,11:43:35,12,person,3.64
393,11:43:35,12,person,3.64
394,11:43:35,12,person,3.63
395,11:43:35,12,person,3.63
396,11:43:35,12,person,3.64
397,11:43:36,12,person,3.63
398,11:43:36,12,person,3.62
399,11:43:36,12,person,3.63
400,11:43:36,12,person,3.63
401,11:43:36,12,person,3.64
402,11:43:36,12,person,3.64
403,11:43:36,12,person,3.64
404,11:43:37,12,person,3.64
405,11:43:37,12,person,3.63
406,11:43:37,12,person,3.64
407,11:43:37,12,person,3.64
408,11:43:37,12,person,3.63
409,11:43:37,12,person,3.63
410,11:43:37,12,person,3.62
411,11:43:38,12,person,3.63
412,11:43:38,12,person,3.64
413,11:43:38,12,person,3.64
414,11:43:38,12,person,3.64
415,11:43:38,12,person,3.63
416,11:43:38,12,person,3.63
417,11:43:38,12,person,3.62
418,11:43:39,12,person,3.63
419,11:43:39,12,person,3.63
420,11:43:39,12,person,3.63
421,11:43:39,12,person,3.64
422,11:43:39,12,person,3.64
423,11:43:39,12,person,3.64
424,11:43:40,12,person,3.64
425,11:43:40,12,person,3.64
426,11:43:40,12,person,3.64
427,11:43:40,12,person,3.64
428,11:43:40,12,person,3.64
429,11:43:40,12,person,3.63
430,11:43:40,12,person,3.63
431,11:43:41,12,person,3.63
432,11:43:41,12,person,3.64
433,11:43:41,12,person,3.64
434,11:43:41,12,person,3.64
435,11:43:41,12,person,3.64
436,11:43:41,12,person,3.63
437,11:43:41,12,person,3.63
438,11:43:42,12,person,3.62
439,11:43:42,12,person,3.63
440,11:43:42,12,person,3.64
441,11:43:42,12,person,3.62
442,11:43:42,12,person,3.63
443,11:43:42,12,person,3.63
444,11:43:42,12,person,3.63
445,11:43:43,12,person,3.64
446,11:43:43,12,person,3.64
447,11:43:43,12,person,3.64
448,11:43:43,12,person,3.66
449,11:43:43,12,person,3.64
450,11:43:43,12,person,3.64
451,11:43:43,12,person,3.63
452,11:43:44,12,person,3.63
453,11:43:44,12,person,3.63
454,11:43:44,12,person,3.64
455,11:43:44,12,person,3.63
456,11:43:44,12,person,3.63
457,11:43:44,12,person,3.64
458,11:43:45,12,person,3.64
459,11:43:45,12,person,3.64
460,11:43:45,12,person,3.64
461,11:43:45,12,person,3.63
462,11:43:45,12,person,3.63
463,11:43:45,12,person,3.63
464,11:43:46,12,person,3.6
465,11:43:46,12,person,3.59
466,11:43:46,12,person,3.51
467,11:43:46,12,person,3.34
468,11:43:46,12,person,3.34
469,11:43:46,12,person,3.28
470,11:43:47,12,person,3.27
471,11:43:47,12,person,3.24
472,11:43:47,12,person,3.23
473,11:43:47,12,person,3.22
474,11:43:47,12,person,3.14
475,11:43:47,12,person,3.02
476,11:43:48,12,person,2.99
477,11:43:48,12,person,3.04
478,11:43:48,12,person,3.12
479,11:43:48,12,person,3.13
480,11:43:48,12,person,3.11
481,11:43:48,12,person,3.1
482,11:43:49,12,person,3.15
483,11:43:49,12,person,3.13
484,11:43:49,12,person,3.15
484,11:43:49,17,person,3.14
485,11:43:49,12,person,3.15
485,11:43:49,17,person,3.14
486,11:43:49,12,person,3.15
486,11:43:49,17,person,3.13
487,11:43:49,12,person,3.16
487,11:43:49,17,person,3.14
488,11:43:49,12,person,3.16
488,11:43:49,17,person,3.14
489,11:43:50,12,person,3.15
489,11:43:50,17,person,3.13
490,11:43:50,12,person,3.16
490,11:43:50,17,person,3.15
491,11:43:50,12,person,3.14
491,11:43:50,17,person,3.13
492,11:43:50,12,person,3.14
492,11:43:50,17,person,3.13
